               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.021751,            0.006907,          0.00094499,             0.91226,             0.75586,             0.78139,             0.46906,             0.03477,            0.017683,           0.0029104,            0.005875,            0.005875,            0.005875
                 127,            0.021761,           0.0070539,          0.00090651,             0.91262,              0.7599,             0.78475,             0.47122,            0.034255,             0.01698,           0.0028265,            0.005842,            0.005842,            0.005842
                 128,            0.021706,           0.0069364,          0.00078643,             0.91473,              0.7548,             0.79593,              0.4788,            0.033328,            0.015872,             0.00176,            0.005809,            0.005809,            0.005809
                 129,            0.021519,           0.0069887,          0.00092216,             0.93121,             0.74391,             0.78209,              0.4677,            0.034238,            0.016943,           0.0028194,            0.005776,            0.005776,            0.005776
                 130,            0.021543,           0.0069216,          0.00094552,             0.91317,             0.75198,             0.79322,             0.47718,            0.034294,            0.016718,           0.0026888,            0.005743,            0.005743,            0.005743
                 131,            0.021641,           0.0068704,            0.000975,             0.90141,             0.75442,             0.77971,              0.4763,            0.034251,            0.016694,           0.0025761,             0.00571,             0.00571,             0.00571
                 132,            0.021361,            0.006754,          0.00095949,             0.89811,             0.75929,             0.77637,             0.46906,            0.033977,             0.01652,           0.0030264,            0.005677,            0.005677,            0.005677
                 133,            0.021465,            0.006941,          0.00097053,             0.89795,             0.75902,             0.78242,             0.46929,            0.034602,            0.016908,           0.0036559,            0.005644,            0.005644,            0.005644
                 134,            0.021376,           0.0068953,           0.0008766,             0.89277,             0.75702,              0.7723,             0.46064,             0.03519,            0.017458,           0.0034066,            0.005611,            0.005611,            0.005611
                 135,            0.021641,           0.0067974,          0.00078816,             0.91291,             0.74924,             0.77625,              0.4715,            0.034107,            0.017529,           0.0029286,            0.005578,            0.005578,            0.005578
                 136,             0.02088,           0.0066774,          0.00087811,             0.90359,             0.74919,             0.78361,             0.47001,            0.034289,            0.017209,           0.0028758,            0.005545,            0.005545,            0.005545
                 137,            0.021567,           0.0069209,           0.0010146,             0.90652,             0.74458,             0.77696,             0.46078,            0.034844,               0.017,           0.0023051,            0.005512,            0.005512,            0.005512
                 138,            0.021579,           0.0066624,          0.00099789,              0.8953,             0.75736,              0.7781,             0.46636,            0.035361,            0.017559,           0.0042457,            0.005479,            0.005479,            0.005479
                 139,            0.021467,           0.0069121,          0.00088558,             0.90867,             0.75104,             0.78072,             0.46703,            0.035009,            0.016803,           0.0039508,            0.005446,            0.005446,            0.005446
                 140,            0.021091,           0.0067278,          0.00092694,             0.91336,             0.74794,             0.77151,             0.46197,            0.035557,            0.016512,            0.003537,            0.005413,            0.005413,            0.005413
                 141,            0.020761,           0.0067818,           0.0008768,             0.90287,             0.75872,             0.77879,             0.46547,            0.034533,            0.016734,            0.003222,             0.00538,             0.00538,             0.00538
                 142,            0.021138,           0.0067804,          0.00085394,             0.90307,             0.76014,             0.77959,             0.46606,            0.034773,            0.016634,           0.0026554,            0.005347,            0.005347,            0.005347
                 143,            0.021154,           0.0068136,          0.00086211,             0.90635,             0.76219,             0.78423,                0.47,            0.034228,            0.016717,            0.002241,            0.005314,            0.005314,            0.005314
                 144,            0.021229,           0.0066947,           0.0010049,             0.90017,             0.77312,             0.79225,             0.48072,            0.034371,            0.016828,           0.0021172,            0.005281,            0.005281,            0.005281
                 145,            0.021394,           0.0066747,           0.0010369,             0.90651,             0.75611,             0.79102,             0.47895,            0.034113,             0.01664,           0.0024433,            0.005248,            0.005248,            0.005248
                 146,              0.0204,            0.006677,          0.00086358,             0.89618,             0.76993,             0.79426,             0.47706,            0.033837,            0.016435,           0.0024521,            0.005215,            0.005215,            0.005215
                 147,            0.021154,           0.0065435,           0.0010161,             0.91222,             0.75372,             0.78891,             0.47365,            0.034481,            0.017414,           0.0028656,            0.005182,            0.005182,            0.005182
                 148,            0.020897,           0.0066471,           0.0009162,             0.89732,             0.76027,             0.78833,             0.47667,            0.034115,            0.017263,            0.002201,            0.005149,            0.005149,            0.005149
                 149,            0.020716,           0.0066494,          0.00093117,             0.90402,             0.74883,             0.77926,             0.47015,            0.034703,            0.017563,           0.0027676,            0.005116,            0.005116,            0.005116
                 150,            0.020966,           0.0066889,          0.00088313,             0.91342,             0.74173,             0.77057,             0.46156,            0.035358,            0.017153,           0.0028484,            0.005083,            0.005083,            0.005083
                 151,            0.020804,           0.0066268,          0.00094346,             0.90671,             0.75376,             0.78057,             0.46555,             0.03503,            0.016405,             0.00241,             0.00505,             0.00505,             0.00505
                 152,            0.020521,           0.0067293,          0.00081222,             0.90995,             0.75681,             0.78965,             0.47692,            0.033655,            0.016357,           0.0022163,            0.005017,            0.005017,            0.005017
                 153,            0.021056,           0.0064334,          0.00086369,             0.90257,             0.76049,             0.77819,             0.47284,            0.033718,            0.016616,           0.0021581,            0.004984,            0.004984,            0.004984
                 154,            0.020719,           0.0064739,          0.00090598,             0.90352,             0.76137,             0.79341,              0.4822,            0.033438,            0.016612,           0.0020195,            0.004951,            0.004951,            0.004951
                 155,            0.020852,           0.0065616,           0.0009457,             0.91014,             0.77203,              0.7885,             0.48093,            0.033911,            0.016763,           0.0024745,            0.004918,            0.004918,            0.004918
                 156,            0.020401,           0.0065924,          0.00090544,             0.88572,             0.76057,             0.77769,             0.46547,            0.034389,            0.017302,             0.00308,            0.004885,            0.004885,            0.004885
                 157,            0.020392,           0.0065993,          0.00075128,             0.89688,             0.75818,              0.7813,             0.46481,            0.034481,            0.017353,           0.0029043,            0.004852,            0.004852,            0.004852
                 158,            0.020268,           0.0063615,          0.00083196,             0.89932,              0.7638,              0.7864,             0.47321,            0.035111,            0.017177,           0.0031725,            0.004819,            0.004819,            0.004819
                 159,            0.020261,           0.0064265,          0.00090204,             0.91233,             0.75642,             0.78678,             0.47452,            0.035019,             0.01717,           0.0034608,            0.004786,            0.004786,            0.004786
                 160,            0.020381,           0.0064741,          0.00083387,             0.90459,             0.76793,             0.79173,             0.47505,            0.034545,            0.017396,           0.0036622,            0.004753,            0.004753,            0.004753
